Kanji°,WaniKani Level°,JLPT°,Joyo Grade¤,Main Freq Rank°,Main Freq Group°,Wiki Freq (2023)†,News Freq (2023)†
通,WaniKani::L07,JLPT::N4,JoyoGrade::XX,80,Freq::F1,66,28
外,WaniKani::L03,JLPT::N5,JoyoGrade::XX,81,Freq::F1,74,153
最,WaniKani::L10,JLPT::N3,JoyoGrade::XX,82,Freq::F1,94,75
言,WaniKani::L05,JLPT::N4,JoyoGrade::XX,83,Freq::F1,194,278
氏,WaniKani::L07,JLPT::N1,JoyoGrade::XX,84,Freq::F1,540,52
現,WaniKani::L23,JLPT::N3,JoyoGrade::XX,85,Freq::F1,76,86
理,WaniKani::L07,JLPT::N4,JoyoGrade::XX,86,Freq::F1,115,116
調,WaniKani::L10,JLPT::N3,JoyoGrade::XX,87,Freq::F1,325,140
体,WaniKani::L05,JLPT::N4,JoyoGrade::XX,88,Freq::F1,79,119
化,WaniKani::L06,JLPT::N3,JoyoGrade::XX,89,Freq::F1,85,212
田,WaniKani::L02,JLPT::N4,JoyoGrade::XX,90,Freq::F1,29,60
当,WaniKani::L05,JLPT::N3,JoyoGrade::XX,91,Freq::F1,83,87
八,WaniKani::L01,JLPT::N5,JoyoGrade::XX,92,Freq::F1,464,662
六,WaniKani::L02,JLPT::N5,JoyoGrade::XX,93,Freq::F1,743,1331
約,WaniKani::L14,JLPT::N3,JoyoGrade::XX,94,Freq::F1,240,124
主,WaniKani::L04,JLPT::N4,JoyoGrade::XX,95,Freq::F1,65,145
題,WaniKani::L13,JLPT::N4,JoyoGrade::XX,96,Freq::F1,331,282
下,WaniKani::L01,JLPT::N5,JoyoGrade::XX,97,Freq::F1,68,91
首,WaniKani::L06,JLPT::N3,JoyoGrade::XX,98,Freq::F1,594,203
意,WaniKani::L11,JLPT::N4,JoyoGrade::XX,99,Freq::F1,249,200
法,WaniKani::L15,JLPT::N3,JoyoGrade::XX,100,Freq::F1,110,109
不,WaniKani::L04,JLPT::N4,JoyoGrade::XX,101,Freq::F1,203,120
来,WaniKani::L05,JLPT::N5,JoyoGrade::XX,102,Freq::F1,164,192
作,WaniKani::L05,JLPT::N4,JoyoGrade::XX,103,Freq::F1,14,172
性,WaniKani::L14,JLPT::N3,JoyoGrade::XX,104,Freq::F1,107,76
的,WaniKani::L14,JLPT::XX,JoyoGrade::XX,105,Freq::F1,55,157
要,WaniKani::L09,JLPT::N3,JoyoGrade::XX,106,Freq::F1,142,251
用,WaniKani::L03,JLPT::N4,JoyoGrade::XX,107,Freq::F1,34,104
制,WaniKani::L21,JLPT::N3,JoyoGrade::XX,108,Freq::F1,145,228
治,WaniKani::L16,JLPT::N3,JoyoGrade::XX,109,Freq::F1,140,307
度,WaniKani::L09,JLPT::N4,JoyoGrade::XX,110,Freq::F1,128,92
務,WaniKani::L21,JLPT::N3,JoyoGrade::XX,111,Freq::F1,146,123
強,WaniKani::L07,JLPT::N4,JoyoGrade::XX,112,Freq::F1,326,239
気,WaniKani::L04,JLPT::N5,JoyoGrade::XX,113,Freq::F1,169,95
小,WaniKani::L02,JLPT::N5,JoyoGrade::XX,114,Freq::F1,58,149
七,WaniKani::L01,JLPT::N5,JoyoGrade::XX,115,Freq::F1,777,1242
成,WaniKani::L11,JLPT::N3,JoyoGrade::XX,116,Freq::F1,35,111
期,WaniKani::L12,JLPT::N3,JoyoGrade::XX,117,Freq::F1,127,169
公,WaniKani::L10,JLPT::N4,JoyoGrade::XX,118,Freq::F1,71,122
持,WaniKani::L09,JLPT::N4,JoyoGrade::XX,119,Freq::F1,182,226
野,WaniKani::L12,JLPT::N4,JoyoGrade::XX,120,Freq::F1,73,85
協,WaniKani::L14,JLPT::N2,JoyoGrade::XX,121,Freq::F1,343,213
取,WaniKani::L06,JLPT::N3,JoyoGrade::XX,122,Freq::F1,156,100
都,WaniKani::L12,JLPT::N3,JoyoGrade::XX,123,Freq::F1,157,115
和,WaniKani::L09,JLPT::N3,JoyoGrade::XX,124,Freq::F1,64,237
統,WaniKani::L22,JLPT::N1,JoyoGrade::XX,125,Freq::F1,305,188
以,WaniKani::L07,JLPT::N4,JoyoGrade::XX,126,Freq::F1,105,88
機,WaniKani::L20,JLPT::N3,JoyoGrade::XX,127,Freq::F1,102,129
平,WaniKani::L04,JLPT::N3,JoyoGrade::XX,128,Freq::F1,88,190
総,WaniKani::L21,JLPT::N2,JoyoGrade::XX,129,Freq::F1,266,189
加,WaniKani::L19,JLPT::N3,JoyoGrade::XX,130,Freq::F1,139,184
山,WaniKani::L01,JLPT::N5,JoyoGrade::XX,131,Freq::F1,39,81
思,WaniKani::L06,JLPT::N4,JoyoGrade::XX,132,Freq::F1,430,455
家,WaniKani::L06,JLPT::N4,JoyoGrade::XX,133,Freq::F1,67,206
話,WaniKani::L08,JLPT::N5,JoyoGrade::XX,134,Freq::F1,166,210
世,WaniKani::L04,JLPT::N4,JoyoGrade::XX,135,Freq::F1,91,204
受,WaniKani::L09,JLPT::N3,JoyoGrade::XX,136,Freq::F1,160,127
区,WaniKani::L15,JLPT::N2,JoyoGrade::XX,137,Freq::F1,132,158
領,WaniKani::L22,JLPT::N2,JoyoGrade::XX,138,Freq::F1,412,265
多,WaniKani::L05,JLPT::N4,JoyoGrade::XX,139,Freq::F1,131,244
県,WaniKani::L09,JLPT::N2,JoyoGrade::XX,140,Freq::F1,59,40
続,WaniKani::L19,JLPT::N3,JoyoGrade::XX,141,Freq::F1,215,159
進,WaniKani::L10,JLPT::N3,JoyoGrade::XX,142,Freq::F1,235,245
正,WaniKani::L02,JLPT::N4,JoyoGrade::XX,143,Freq::F1,144,182
安,WaniKani::L06,JLPT::N4,JoyoGrade::XX,144,Freq::F1,274,214
設,WaniKani::L21,JLPT::N2,JoyoGrade::XX,145,Freq::F1,72,199
保,WaniKani::L09,JLPT::N1,JoyoGrade::XX,146,Freq::F1,220,221
改,WaniKani::L19,JLPT::N2,JoyoGrade::XX,147,Freq::F1,244,313
数,WaniKani::L08,JLPT::N3,JoyoGrade::XX,148,Freq::F1,124,151
記,WaniKani::L07,JLPT::N3,JoyoGrade::XX,149,Freq::F1,104,82
院,WaniKani::L10,JLPT::N4,JoyoGrade::XX,150,Freq::F1,196,156
女,WaniKani::L01,JLPT::N5,JoyoGrade::XX,151,Freq::F1,92,142
初,WaniKani::L11,JLPT::N3,JoyoGrade::XX,152,Freq::F1,89,113
北,WaniKani::L03,JLPT::N5,JoyoGrade::XX,153,Freq::F1,116,67
午,WaniKani::L03,JLPT::N5,JoyoGrade::XX,154,Freq::F1,1146,103
指,WaniKani::L11,JLPT::N3,JoyoGrade::XX,155,Freq::F1,205,194
権,WaniKani::L21,JLPT::N3,JoyoGrade::XX,156,Freq::F1,275,186
心,WaniKani::L03,JLPT::N4,JoyoGrade::XX,157,Freq::F1,256,333
界,WaniKani::L09,JLPT::N4,JoyoGrade::XX,158,Freq::F1,180,238
支,WaniKani::L08,JLPT::N3,JoyoGrade::XX,159,Freq::F1,295,254
第,WaniKani::L12,JLPT::N1,JoyoGrade::XX,160,Freq::F1,23,114
産,WaniKani::L20,JLPT::N3,JoyoGrade::XX,161,Freq::F1,243,74
結,WaniKani::L17,JLPT::N1,JoyoGrade::XX,162,Freq::F1,170,174
百,WaniKani::L04,JLPT::N5,JoyoGrade::XX,163,Freq::F1,718,861
派,WaniKani::L21,JLPT::N1,JoyoGrade::XX,164,Freq::F1,498,376
点,WaniKani::L06,JLPT::N3,JoyoGrade::XX,165,Freq::F1,162,180
教,WaniKani::L07,JLPT::N4,JoyoGrade::XX,166,Freq::F1,98,216
報,WaniKani::L18,JLPT::N3,JoyoGrade::XX,167,Freq::F1,246,17
済,WaniKani::L21,JLPT::N3,JoyoGrade::XX,168,Freq::F1,503,187
書,WaniKani::L16,JLPT::N5,JoyoGrade::XX,169,Freq::F1,111,297
府,WaniKani::L16,JLPT::N2,JoyoGrade::XX,170,Freq::F1,338,176
活,WaniKani::L06,JLPT::N3,JoyoGrade::XX,171,Freq::F1,175,236
原,WaniKani::L17,JLPT::N3,JoyoGrade::XX,172,Freq::F1,103,170
先,WaniKani::L04,JLPT::N5,JoyoGrade::XX,173,Freq::F1,341,303
共,WaniKani::L11,JLPT::N3,JoyoGrade::XX,174,Freq::F1,154,143
得,WaniKani::L19,JLPT::N3,JoyoGrade::XX,175,Freq::F1,251,225
解,WaniKani::L21,JLPT::N3,JoyoGrade::XX,176,Freq::F1,264,220
名,WaniKani::L04,JLPT::N5,JoyoGrade::XX,177,Freq::F1,33,101
交,WaniKani::L05,JLPT::N3,JoyoGrade::XX,178,Freq::F1,206,242
資,WaniKani::L21,JLPT::N3,JoyoGrade::XX,179,Freq::F1,402,374
予,WaniKani::L09,JLPT::N3,JoyoGrade::XX,180,Freq::F1,384,136
川,WaniKani::L01,JLPT::N5,JoyoGrade::XX,181,Freq::F1,52,134
向,WaniKani::L06,JLPT::N3,JoyoGrade::XX,182,Freq::F1,260,288
際,WaniKani::L21,JLPT::N3,JoyoGrade::XX,183,Freq::F1,197,196
査,WaniKani::L21,JLPT::N2,JoyoGrade::XX,184,Freq::F1,415,144
勝,WaniKani::L09,JLPT::N3,JoyoGrade::XX,185,Freq::F1,135,62
面,WaniKani::L16,JLPT::N3,JoyoGrade::XX,186,Freq::F1,173,331
委,WaniKani::L21,JLPT::N2,JoyoGrade::XX,187,Freq::F1,466,289
告,WaniKani::L18,JLPT::N3,JoyoGrade::XX,188,Freq::F1,504,193
軍,WaniKani::L15,JLPT::N2,JoyoGrade::XX,189,Freq::F1,122,329
文,WaniKani::L02,JLPT::N4,JoyoGrade::XX,190,Freq::F1,56,295
反,WaniKani::L08,JLPT::N3,JoyoGrade::XX,191,Freq::F1,389,223
元,WaniKani::L04,JLPT::N4,JoyoGrade::XX,192,Freq::F1,134,165
重,WaniKani::L09,JLPT::N4,JoyoGrade::XX,193,Freq::F1,221,269
近,WaniKani::L05,JLPT::N4,JoyoGrade::XX,194,Freq::F1,237,161
千,WaniKani::L02,JLPT::N5,JoyoGrade::XX,195,Freq::F1,374,345
考,WaniKani::L05,JLPT::N4,JoyoGrade::XX,196,Freq::F1,262,446
判,WaniKani::L21,JLPT::N3,JoyoGrade::XX,197,Freq::F1,365,141
認,WaniKani::L21,JLPT::N3,JoyoGrade::XX,198,Freq::F1,371,131
画,WaniKani::L07,JLPT::N4,JoyoGrade::XX,199,Freq::F1,81,277
海,WaniKani::L06,JLPT::N4,JoyoGrade::XX,200,Freq::F1,118,98
参,WaniKani::L14,JLPT::N3,JoyoGrade::XX,201,Freq::F1,161,280
売,WaniKani::L09,JLPT::N4,JoyoGrade::XX,202,Freq::F1,153,29
利,WaniKani::L11,JLPT::N3,JoyoGrade::XX,203,Freq::F1,229,240
組,WaniKani::L07,JLPT::N3,JoyoGrade::XX,204,Freq::F1,129,205
知,WaniKani::L06,JLPT::N4,JoyoGrade::XX,205,Freq::F1,179,152
案,WaniKani::L22,JLPT::N1,JoyoGrade::XX,206,Freq::F1,674,384
道,WaniKani::L08,JLPT::N4,JoyoGrade::XX,207,Freq::F1,41,59
信,WaniKani::L15,JLPT::N3,JoyoGrade::XX,208,Freq::F1,189,61
策,WaniKani::L22,JLPT::N1,JoyoGrade::XX,209,Freq::F1,698,466
集,WaniKani::L10,JLPT::N4,JoyoGrade::XX,210,Freq::F1,176,317
在,WaniKani::L20,JLPT::N3,JoyoGrade::XX,211,Freq::F1,106,175
件,WaniKani::L21,JLPT::N3,JoyoGrade::XX,212,Freq::F1,376,150
団,WaniKani::L19,JLPT::N2,JoyoGrade::XX,213,Freq::F1,184,202
別,WaniKani::L11,JLPT::N4,JoyoGrade::XX,214,Freq::F1,236,275
物,WaniKani::L09,JLPT::N4,JoyoGrade::XX,215,Freq::F1,69,257
側,WaniKani::L17,JLPT::N3,JoyoGrade::XX,216,Freq::F1,372,404
任,WaniKani::L21,JLPT::N3,JoyoGrade::XX,217,Freq::F1,238,208
引,WaniKani::L03,JLPT::N3,JoyoGrade::XX,218,Freq::F1,317,232
使,WaniKani::L09,JLPT::N4,JoyoGrade::XX,219,Freq::F1,137,281
求,WaniKani::L10,JLPT::N3,JoyoGrade::XX,220,Freq::F1,683,361
所,WaniKani::L08,JLPT::N3,JoyoGrade::XX,221,Freq::F1,51,90
次,WaniKani::L08,JLPT::N3,JoyoGrade::XX,222,Freq::F1,211,283
水,WaniKani::L02,JLPT::N5,JoyoGrade::XX,223,Freq::F1,136,230
半,WaniKani::L03,JLPT::N5,JoyoGrade::XX,224,Freq::F1,391,308
品,WaniKani::L16,JLPT::N4,JoyoGrade::XX,225,Freq::F1,138,233
昨,WaniKani::L15,JLPT::N3,JoyoGrade::XX,226,Freq::F1,2018,696
論,WaniKani::L20,JLPT::N3,JoyoGrade::XX,227,Freq::F1,352,523
計,WaniKani::L15,JLPT::N4,JoyoGrade::XX,228,Freq::F1,259,247
死,WaniKani::L06,JLPT::N4,JoyoGrade::XX,229,Freq::F1,303,55
官,WaniKani::L17,JLPT::N3,JoyoGrade::XX,230,Freq::F1,321,324
増,WaniKani::L21,JLPT::N3,JoyoGrade::XX,231,Freq::F1,511,440
係,WaniKani::L16,JLPT::N3,JoyoGrade::XX,232,Freq::F1,453,346
感,WaniKani::L13,JLPT::N3,JoyoGrade::XX,233,Freq::F1,485,340
特,WaniKani::L11,JLPT::N4,JoyoGrade::XX,234,Freq::F1,141,262
情,WaniKani::L13,JLPT::N3,JoyoGrade::XX,235,Freq::F1,340,66
投,WaniKani::L08,JLPT::N3,JoyoGrade::XX,236,Freq::F1,423,146
示,WaniKani::L22,JLPT::N3,JoyoGrade::XX,237,Freq::F1,367,272
変,WaniKani::L15,JLPT::N3,JoyoGrade::XX,238,Freq::F1,190,383
打,WaniKani::L04,JLPT::N3,JoyoGrade::XX,239,Freq::F1,390,290
男,WaniKani::L04,JLPT::N5,JoyoGrade::XX,240,Freq::F1,233,125
基,WaniKani::L14,JLPT::N1,JoyoGrade::XX,241,Freq::F1,280,365
私,WaniKani::L06,JLPT::N4,JoyoGrade::XX,242,Freq::F1,724,656
各,WaniKani::L22,JLPT::N2,JoyoGrade::XX,243,Freq::F1,377,296
始,WaniKani::L10,JLPT::N4,JoyoGrade::XX,244,Freq::F1,213,285
島,WaniKani::L12,JLPT::N2,JoyoGrade::XX,245,Freq::F1,100,70
直,WaniKani::L06,JLPT::N3,JoyoGrade::XX,246,Freq::F1,294,330
両,WaniKani::L06,JLPT::N3,JoyoGrade::XX,247,Freq::F1,310,248
朝,WaniKani::L08,JLPT::N4,JoyoGrade::XX,248,Freq::F1,290,35
革,WaniKani::L23,JLPT::N2,JoyoGrade::XX,249,Freq::F1,656,888
価,WaniKani::L22,JLPT::N1,JoyoGrade::XX,250,Freq::F1,576,538
式,WaniKani::L15,JLPT::N3,JoyoGrade::XX,251,Freq::F1,95,178
確,WaniKani::L20,JLPT::N3,JoyoGrade::XX,252,Freq::F1,553,209
村,WaniKani::L04,JLPT::N2,JoyoGrade::XX,253,Freq::F1,96,268
提,WaniKani::L22,JLPT::N1,JoyoGrade::XX,254,Freq::F1,487,319
運,WaniKani::L10,JLPT::N4,JoyoGrade::XX,255,Freq::F1,183,148
終,WaniKani::L10,JLPT::N4,JoyoGrade::XX,256,Freq::F1,232,263
挙,WaniKani::L21,JLPT::N1,JoyoGrade::XX,257,Freq::F1,443,162
果,WaniKani::L17,JLPT::N3,JoyoGrade::XX,258,Freq::F1,322,258
西,WaniKani::L05,JLPT::N5,JoyoGrade::XX,259,Freq::F1,130,138
勢,WaniKani::L22,JLPT::N2,JoyoGrade::XX,260,Freq::F1,574,402
減,WaniKani::L19,JLPT::N2,JoyoGrade::XX,261,Freq::F1,794,472
台,WaniKani::L03,JLPT::N4,JoyoGrade::XX,262,Freq::F1,227,65
広,WaniKani::L03,JLPT::N4,JoyoGrade::XX,263,Freq::F1,258,276
容,WaniKani::L19,JLPT::N3,JoyoGrade::XX,264,Freq::F1,481,102
必,WaniKani::L07,JLPT::N3,JoyoGrade::XX,265,Freq::F1,542,519
応,WaniKani::L22,JLPT::N1,JoyoGrade::XX,266,Freq::F1,380,356
演,WaniKani::L23,JLPT::N3,JoyoGrade::XX,267,Freq::F1,87,400
電,WaniKani::L08,JLPT::N5,JoyoGrade::XX,268,Freq::F1,171,185
歳,WaniKani::L46,JLPT::N3,JoyoGrade::XX,269,Freq::F1,410,108
住,WaniKani::L08,JLPT::N4,JoyoGrade::XX,270,Freq::F1,349,292
争,WaniKani::L11,JLPT::N3,JoyoGrade::XX,271,Freq::F1,455,591
談,WaniKani::L09,JLPT::N3,JoyoGrade::XX,272,Freq::F1,693,652
能,WaniKani::L14,JLPT::N3,JoyoGrade::XX,273,Freq::F1,158,219
無,WaniKani::L17,JLPT::XX,JoyoGrade::XX,274,Freq::F1,272,235
再,WaniKani::L26,JLPT::N2,JoyoGrade::XX,275,Freq::F1,291,215
位,WaniKani::L11,JLPT::N3,JoyoGrade::XX,276,Freq::F1,125,166
置,WaniKani::L22,JLPT::N3,JoyoGrade::XX,277,Freq::F1,172,294
企,WaniKani::L16,JLPT::N1,JoyoGrade::XX,278,Freq::F1,479,628
真,WaniKani::L16,JLPT::N4,JoyoGrade::XX,279,Freq::F1,281,531
流,WaniKani::L12,JLPT::N3,JoyoGrade::XX,280,Freq::F1,255,315
格,WaniKani::L14,JLPT::N3,JoyoGrade::XX,281,Freq::F1,318,372
有,WaniKani::L06,JLPT::N4,JoyoGrade::XX,282,Freq::F1,212,312
疑,WaniKani::L13,JLPT::N3,JoyoGrade::XX,283,Freq::F1,1040,93
口,WaniKani::L01,JLPT::N4,JoyoGrade::XX,284,Freq::F1,195,299
過,WaniKani::L22,JLPT::N3,JoyoGrade::XX,285,Freq::F1,406,284
局,WaniKani::L08,JLPT::N3,JoyoGrade::XX,286,Freq::F1,271,250
少,WaniKani::L03,JLPT::N4,JoyoGrade::XX,287,Freq::F1,270,301
放,WaniKani::L11,JLPT::N3,JoyoGrade::XX,288,Freq::F1,121,110
税,WaniKani::L21,JLPT::N2,JoyoGrade::XX,289,Freq::F1,999,763
検,WaniKani::L21,JLPT::N1,JoyoGrade::XX,290,Freq::F1,617,198
藤,WaniKani::L22,JLPT::N1,JoyoGrade::XX,291,Freq::F1,228,339
町,WaniKani::L04,JLPT::N4,JoyoGrade::XX,292,Freq::F1,93,222
常,WaniKani::L17,JLPT::N3,JoyoGrade::XX,293,Freq::F1,319,364
校,WaniKani::L07,JLPT::N5,JoyoGrade::XX,294,Freq::F1,54,160
料,WaniKani::L13,JLPT::N4,JoyoGrade::XX,295,Freq::F1,346,387
沢,WaniKani::L23,JLPT::N1,JoyoGrade::XX,296,Freq::F1,436,474
裁,WaniKani::L23,JLPT::N1,JoyoGrade::XX,297,Freq::F1,735,271
状,WaniKani::L22,JLPT::N3,JoyoGrade::XX,298,Freq::F1,342,309
工,WaniKani::L01,JLPT::N4,JoyoGrade::XX,299,Freq::F1,193,347
建,WaniKani::L21,JLPT::N4,JoyoGrade::XX,300,Freq::F1,267,409
語,WaniKani::L10,JLPT::N5,JoyoGrade::XX,301,Freq::F1,82,267
球,WaniKani::L12,JLPT::N3,JoyoGrade::XX,302,Freq::F1,297,118
営,WaniKani::L22,JLPT::N2,JoyoGrade::XX,303,Freq::F1,287,231
空,WaniKani::L05,JLPT::N4,JoyoGrade::XX,304,Freq::F1,204,261
職,WaniKani::L23,JLPT::N3,JoyoGrade::XX,305,Freq::F1,488,310
証,WaniKani::L16,JLPT::N1,JoyoGrade::XX,306,Freq::F1,639,394
土,WaniKani::L02,JLPT::N5,JoyoGrade::XX,307,Freq::F1,316,430
与,WaniKani::L25,JLPT::N3,JoyoGrade::XX,308,Freq::F1,495,398
急,WaniKani::L16,JLPT::N4,JoyoGrade::XX,309,Freq::F1,471,270
止,WaniKani::L03,JLPT::N4,JoyoGrade::XX,310,Freq::F1,320,137
送,WaniKani::L09,JLPT::N4,JoyoGrade::XX,311,Freq::F1,120,107
援,WaniKani::L22,JLPT::N1,JoyoGrade::XX,312,Freq::F1,658,408
供,WaniKani::L24,JLPT::N3,JoyoGrade::XX,313,Freq::F1,472,428
可,WaniKani::L18,JLPT::XX,JoyoGrade::XX,314,Freq::F1,307,252
役,WaniKani::L08,JLPT::N3,JoyoGrade::XX,315,Freq::F1,147,359
構,WaniKani::L25,JLPT::N3,JoyoGrade::XX,316,Freq::F1,332,479
木,WaniKani::L02,JLPT::N5,JoyoGrade::XX,317,Freq::F1,148,304
割,WaniKani::L23,JLPT::N3,JoyoGrade::XX,318,Freq::F1,662,611
聞,WaniKani::L10,JLPT::N5,JoyoGrade::XX,319,Freq::F1,530,5
身,WaniKani::L08,JLPT::XX,JoyoGrade::XX,320,Freq::F1,150,355
費,WaniKani::L22,JLPT::N3,JoyoGrade::XX,321,Freq::F1,867,558
